2026-04-12 22:12:25.363 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:12:25.452 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:12:25.697 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:12:26.051 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:12:39.477 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:12:39.546 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:12:39.726 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:12:39.776 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:12:39.852 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:12:40.073 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:12:40.388 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:12:58.084 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:12:58.165 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:12:58.352 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:12:58.401 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:12:58.477 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:12:58.699 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:12:59.005 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:14:44.585 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:14:44.659 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:14:44.833 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:14:44.885 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:14:44.961 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:14:45.232 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:14:45.574 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:34:27.602 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:34:27.689 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:34:27.858 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:34:27.907 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:34:27.982 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:34:28.190 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:34:28.481 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:35:09.954 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:35:10.029 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:35:10.223 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:35:10.275 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
2026-04-12 22:35:10.347 | INFO     | __main__:main:69 - 传感器数据生成完成：DVL@每拍，USBL 有效点数=121
2026-04-12 22:35:10.572 | INFO     | __main__:main:141 - 融合完成，开始绘图
2026-04-12 22:35:10.896 | INFO     | __main__:main:148 - 已保存图像：2 张 -> /home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/outputs/plots
2026-04-12 22:48:07.818 | INFO     | __main__:main:42 - 启动仿真与融合流程
2026-04-12 22:48:07.881 | INFO     | __main__:main:45 - matplotlib backend = Agg
2026-04-12 22:48:08.038 | INFO     | __main__:main:55 - 已加载配置文件：/home/timsea/code_space/IMM_LAPLACE_UKF/usbl_fusion/configs/sim_noise.ini
2026-04-12 22:48:08.083 | INFO     | __main__:main:63 - 真值轨迹生成完成：N=6001, dt=0.1
