timestamp[ns],ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s],lin_acc_x[m/s^2],lin_acc_y[m/s^2],lin_acc_z[m/s^2]
1652274610771027456,-0.008968889713287354,0.0023977551609277725,0.01315575186163187,0.07597886776835658,-9.807035784447192,-0.2372888896079734
1652274610774027264,-0.009563534520566463,-0.0021181749179959297,0.012680425308644772,0.07793649550899863,-9.811840554380415,-0.24660295365918428
1652274610777029888,-0.005897955968976021,0.0009392666397616267,0.010755510069429874,0.07919844173621386,-9.805692553144693,-0.244822518249508
1652274610780029952,-0.007387782447040081,0.0001282276352867484,0.011010687798261642,0.07209583405624144,-9.798794025802612,-0.23827852169983088
1652274610783026944,-0.0036808073054999113,-0.0014883766416460276,0.013629328459501266,0.0599933585626306,-9.784869545346497,-0.23713521514991298
1652274610786026496,-0.004985642619431019,-0.0005580957513302565,0.011275474913418293,0.0746952485654503,-9.781292271381616,-0.24114021300757302
1652274610789023232,-0.0006895822007209063,-0.0006296180654317141,0.011097616516053677,0.07815549028823152,-9.78352163786888,-0.24246910525746643
1652274610792023040,-0.0015467549674212933,-0.0012606435921043158,0.012921450659632683,0.0797227122054901,-9.78980933983624,-0.23447041638744995
1652274610795020032,0.0019160548690706491,-0.0010300938738510013,0.012758878991007805,0.07644999697802123,-9.792390588501096,-0.22311151210302485
1652274610798019584,0.0034122297074645758,-0.001361492439173162,0.011941424570977688,0.0746755803171778,-9.785924607357382,-0.19540407855333758
1652274610801016576,0.00516901072114706,-9.375601075589657e-05,0.013631842099130154,0.07055049974380526,-9.796974409160017,-0.17811797617701813
1652274610804016640,0.005511120893061161,-0.0004082223167642951,0.013626005500555038,0.057501806608377955,-9.816191735327243,-0.1717237268289551
1652274610807013632,0.0043896157294511795,0.0016321588773280382,0.013972942717373371,0.05772061415794305,-9.817980372309684,-0.17038497077217324
1652274610810013440,0.004679766949266195,0.001977479550987482,0.015477299690246582,0.06859755274485796,-9.809192670220137,-0.16297520597232504
1652274610813010432,0.0067299120128154755,0.0021295719780027866,0.014454939402639866,0.06250661545861512,-9.8150039868474,-0.1489933236400131
1652274610816010240,0.004103738348931074,0.004316249396651983,0.014047074131667614,0.06116871335178148,-9.827740718823671,-0.13745368336066602
1652274610819006976,0.005565105006098747,0.00010766228660941124,0.01542135700583458,0.06837289084324147,-9.826354232901334,-0.12483231225921772
1652274610822006784,0.0042633493430912495,0.0010190586326643825,0.0133663946762681,0.0702605905862525,-9.814391407907008,-0.11892643094998784
1652274610825003776,0.004325293470174074,0.002957639517262578,0.014328258112072945,0.0758372171082301,-9.817312848311662,-0.1192343826543074
