timestamp[ns],vel_x[m/s],vel_y[m/s],vel_z[m/s],beam1_vel[m/s],beam2_vel[m/s],beam3_vel[m/s],beam4_vel[m/s]
1652274610882919168,0.003630388528108597,0.0028402560856193304,0.0013336546253412962,0.0009485147893428802,-0.00026859529316425323,0.0013690730556845665,0.003209429793059826
1652274611142381824,0.003869010368362069,0.00327495695091784,0.0014540801057592034,0.001164192333817482,-0.000522613525390625,0.0014812033623456955,0.0033952556550502777
1652274611262896896,0.0035112490877509117,0.004119320306926966,0.002535278908908367,0.002478791866451502,0.00042114779353141785,0.0020694397389888763,0.004550192505121231
1652274611383188992,0.0020640199072659016,0.0012620718916878104,9.943208715412766e-05,-0.00015456642722710967,-0.0007095115724951029,0.00015838444232940674,0.0011471398174762726
1652274611513075968,0.0021625279914587736,0.0029716133140027523,-0.002031137468293309,-0.001651915255934,-0.003279372351244092,-0.0020832521840929985,-0.0005134716629981995
1652274611642793984,0.001951547572389245,0.003357970854267478,0.001833392190746963,0.0020384658128023148,0.0003182683140039444,0.0011516325175762177,0.0031858254224061966
1652274611772662016,0.0008388845017179847,0.002601530170068145,0.0019532288424670696,0.002281516557559371,0.0008735787123441696,0.0,0.002735517919063568
1652274611902877952,-0.0007975822081789374,0.0026431502774357796,0.003254799172282219,0.003698100568726659,0.002891918644309044,0.0006373263895511627,0.003827277570962906
1652274612023251968,-0.002370508387684822,0.002443784847855568,0.0031864368356764317,0.0042831795290112495,0.002840599976480007,0.0018811780028045177,0.002878866158425808
1652274612142926080,-0.0033389285672456026,0.001201914856210351,-0.0023727002553641796,-0.0006622695364058018,-0.002434541005641222,-0.0024010087363421917,-0.0033217554446309805
1652274612262556928,-0.0031517508905380964,-0.00034380433498881757,0.0006119877798482776,0.002007870003581047,2.8386712074279785e-06,0.0032949112355709076,-0.0014390277210623026
1652274612385741824,-0.018979821354150772,0.009563974104821682,-0.006140829995274544,0.00244920514523983,-0.004133713897317648,-0.01153592113405466,-0.00913322065025568
1652274612502549760,-0.014742420986294746,0.023361336439847946,-0.00833654310554266,0.002537338063120842,-0.010002955794334412,-0.018570974469184875,-0.005258702207356691
1652274612622746880,-0.015286390669643879,0.04297015070915222,-0.0007697305409237742,0.015052969567477703,-0.008202310651540756,0.0,0.006780032999813557
1652274612749672960,-0.019223835319280624,0.062003422528505325,0.00390937365591526,0.026458770036697388,-0.00818151980638504,-0.016402877867221832,0.01425289548933506
1652274612862767104,-0.024639878422021866,0.07398279011249542,0.009814268909394741,0.03575430437922478,-0.004284893628209829,0.0,0.022419294342398643
1652274612983874048,-0.02886272966861725,0.08174283802509308,0.013442485593259335,0.04394075646996498,-0.004023496061563492,-0.016431985422968864,0.02616269513964653
