timestamp[ns],pos_x[m],pos_y[m],pos_z[m],orient_qx,orient_qy,orient_qz,orient_qw
1652274610785289728,1.893850521265608,0.10149893416868792,3.1375118671228446,-0.0038516991587904076,0.9987912981294256,-0.012861070385907681,0.04728319006852104
1652274610835489536,1.8957739990326201,0.09954472726642605,3.137509356175056,-0.004031705104341771,0.9988331602258473,-0.013042672632446444,0.04632442204497784
1652274610884996352,1.8962125199081372,0.09645197496589546,3.1358191611372446,-0.004200777921378238,0.9988347678383658,-0.01224451981825012,0.046492276310735166
1652274610935156736,1.8951582002589469,0.09676153476604742,3.1345875332002446,-0.00448282183163971,0.9987698926739237,-0.013872079004826905,0.0473937888401904
1652274610985936896,1.89516478254946,0.09983464881172814,3.1326520612288755,-0.005251395797932563,0.9987705524078095,-0.015771244842383916,0.04670197341969685
1652274611034926848,1.8967737320386713,0.1059566824258055,3.1347972242604025,-0.005674124855642461,0.9987658136757007,-0.01799244468139329,0.04594481117846993
1652274611085711872,1.8988924617870386,0.11033020398154406,3.135926812459091,-0.00566435979575783,0.9987945514164943,-0.018993301021377657,0.044906721157744356
1652274611134875648,1.899414846667109,0.11201422872696801,3.1370295156172654,-0.005681318423407754,0.9987913161066793,-0.01891253528388749,0.0450105043294894
1652274611184754688,1.899407341455498,0.1147802958393423,3.137637659409316,-0.0053579145047896945,0.9987665579644248,-0.01959598328130464,0.04530621241390055
1652274611234949376,1.8979272037131854,0.1155600766184475,3.138442033105079,-0.004874104380449666,0.9987380260747483,-0.01922121012239627,0.04614264253631956
1652274611285428480,1.89672428229625,0.1142457074504558,3.1382136745841023,-0.004569310837256242,0.9987562528157871,-0.018456712216693844,0.046091416055382556
1652274611334998016,1.8957567003666576,0.11185978445401729,3.136316517783011,-0.0042552821333107895,0.9987586027167388,-0.018138712703841417,0.0461966792607544
1652274611385144832,1.8943942775429268,0.108504270043818,3.1363652905344117,-0.003818108060695853,0.9987621779837783,-0.01731261843328513,0.04647372508116587
1652274611435195648,1.8946847185909135,0.10708178520693652,3.134477503826386,-0.0037525486105354894,0.9987892848708878,-0.01780668664542961,0.04570344316063818
1652274611484900352,1.892823073611124,0.10582129029918699,3.1348324221258874,-0.004354167440939498,0.9987500005224353,-0.017936574820350985,0.04645166268332588
1652274611535623424,1.8938130690267054,0.10612158223101603,3.1344924007794903,-0.004441424090687031,0.9987975273171471,-0.01850140576637733,0.04518264226301049
