timestamp[ns],pos_z[m]
1652274610789346816,-1.5694773197174072
1652274610823259136,-1.5696362257003784
1652274610856069120,-1.569745421409607
1652274610907833088,-1.5698983669281006
1652274610928847104,-1.5701017379760742
1652274610957940992,-1.5702425241470337
1652274610990894080,-1.5703791379928589
1652274611025891072,-1.570526123046875
1652274611056701952,-1.570616364479065
1652274611089543168,-1.5707659721374512
1652274611124541952,-1.5708376169204712
1652274611170299904,-1.5708376169204712
1652274611196744960,-1.5710961818695068
1652274611222652928,-1.571181058883667
1652274611255863808,-1.5712852478027344
1652274611289729024,-1.5713386535644531
1652274611324033024,-1.5714104175567627
1652274611356092928,-1.5714962482452393
1652274611418924032,-1.5717295408248901
1652274611428945920,-1.5717295408248901
1652274611456090880,-1.571756362915039
1652274611489496064,-1.5718343257904053
1652274611524347904,-1.5718837976455688
1652274611555793152,-1.5719109773635864
1652274611589419008,-1.572075366973877
1652274611624028928,-1.572141408920288
1652274611678516992,-1.5724303722381592
1652274611689058048,-1.5724303722381592
1652274611722734080,-1.572523832321167
1652274611756515072,-1.572625756263733
1652274611789884928,-1.5726902484893799
1652274611824166912,-1.5726613998413086
1652274611856123904,-1.5728118419647217
1652274611908056064,-1.5728682279586792
1652274611928091904,-1.5728873014450073
1652274611955666176,-1.5730046033859253
1652274611988965120,-1.5730459690093994
1652274612026114816,-1.5730687379837036
1652274612056400128,-1.5732321739196777
1652274612089748992,-1.5732738971710205
1652274612124589824,-1.573412537574768
1652274612173419008,-1.5734405517578125
1652274612187762944,-1.5734405517578125
1652274612222894848,-1.5736639499664307
1652274612255928064,-1.573866367340088
1652274612288572160,-1.574059247970581
1652274612323246080,-1.574411153793335
1652274612355664128,-1.5746612548828125
1652274612403745792,-1.5748118162155151
1652274612428278016,-1.5752217769622803
1652274612455156992,-1.5752217769622803
1652274612489437952,-1.5753445625305176
1652274612523032832,-1.5755431652069092
1652274612555685120,-1.5755796432495117
1652274612588460032,-1.5756553411483765
1652274612625561856,-1.5756977796554565
1652274612700284928,-1.575663447380066
1652274612720978944,-1.5758271217346191
1652274612739877888,-1.5758506059646606
1652274612756953088,-1.5758506059646606
1652274612788497920,-1.5760372877120972
1652274612822948096,-1.5761656761169434
1652274612855889920,-1.5762885808944702
1652274612892008960,-1.576612949371338
