time_sec,pN_fused,pE_fused,vN_fused,vE_fused,pN_ins,pE_ins,vN_ins,vE_ins
1652274610.7890234,1.8940365731227167,0.10135452841436085,0.06701251627446192,-0.03830507515788466,1.8940365731227167,0.10135452841436085,0.06701251627446192,-0.03830507515788466
1652274610.7920232,1.8942806931785001,0.10124056642376034,0.0957446040368953,-0.037674447931931504,1.8942806931785001,0.10124056642376034,0.0957446040368953,-0.037674447931931504
1652274610.79502,1.8946106808191823,0.10112860024044419,0.12446795621152915,-0.037044592570111584,1.8946106808191823,0.10112860024044419,0.12446795621152915,-0.037044592570111584
1652274610.7980196,1.8950271532738514,0.10101840792330392,0.15322181524035605,-0.036427924085889594,1.8950271532738514,0.10101840792330392,0.15322181524035605,-0.036427924085889594
1652274610.8010166,1.8955293776025388,0.10091014652720053,0.1819304498890985,-0.03581877934434654,1.8955293776025388,0.10091014652720053,0.1819304498890985,-0.03581877934434654
1652274610.8040168,1.8961183352295103,0.10080357500238746,0.2106995919843026,-0.035227388212787425,1.8961183352295103,0.10080357500238746,0.2106995919843026,-0.035227388212787425
1652274610.8070138,1.8967929462842583,0.10069881360173269,0.23949250378912984,-0.03468364301770618,1.8967929462842583,0.10069881360173269,0.23949250378912984,-0.03468364301770618
1652274610.8100135,1.8975546116991326,0.1005955810267928,0.2683169392647261,-0.034142478480669564,1.8975546116991326,0.1005955810267928,0.2683169392647261,-0.034142478480669564
1652274610.8130105,1.8984018714897577,0.10049411346210516,0.2970898356783584,-0.03357045814888821,1.8984018714897577,0.10049411346210516,0.2970898356783584,-0.03357045814888821
1652274610.8160102,1.8993363034809336,0.10039423288716721,0.3259046967555471,-0.033020853653691534,1.8993363034809336,0.10039423288716721,0.3259046967555471,-0.033020853653691534
1652274610.8190072,1.900356139971284,0.10029608510654013,0.35472682390584725,-0.03248226749350879,1.900356139971284,0.10029608510654013,0.35472682390584725,-0.03248226749350879
1652274610.822007,1.901463522143429,0.1001994810638322,0.3835752088543133,-0.03192454968142117,1.901463522143429,0.1001994810638322,0.3835752088543133,-0.03192454968142117
1652274610.8250039,1.902656228349844,0.10010464634327217,0.41236032011271684,-0.03136205272528517,1.902656228349844,0.10010464634327217,0.41236032011271684,-0.03136205272528517
1652274610.8280036,1.9039364593868948,0.10001142965590319,0.44118166460803954,-0.030786383020583667,1.9039364593868948,0.10001142965590319,0.44118166460803954,-0.030786383020583667
1652274610.8310003,1.905301750157674,0.09992003092245923,0.4700035520938153,-0.030212472697082104,1.905301750157674,0.09992003092245923,0.4700035520938153,-0.030212472697082104
1652274610.8340006,1.9067550422050015,0.0998302561798796,0.4988371441897431,-0.029636078920233358,1.9067550422050015,0.0998302561798796,0.4988371441897431,-0.029636078920233358
1652274610.8369975,1.9082931769311653,0.09974229765213735,0.52761519613278,-0.029061793975161492,1.9082931769311653,0.09974229765213735,0.52761519613278,-0.029061793975161492
1652274610.8399973,1.9099191083307876,0.0996559436095095,0.5564084477954225,-0.028511252451721293,1.9099191083307876,0.0996559436095095,0.5564084477954225,-0.028511252451721293
1652274610.8429945,1.9116299468941662,0.09957141139218806,0.5851978279473254,-0.02789530270917247,1.9116299468941662,0.09957141139218806,0.5851978279473254,-0.02789530270917247
1652274610.8459947,1.9134288075924446,0.09948868703387365,0.6140170543206989,-0.02725309300133026,1.9134288075924446,0.09948868703387365,0.6140170543206989,-0.02725309300133026
1652274610.8489916,1.915312146319425,0.09940795932220514,0.6428022678397665,-0.026619397594914735,1.915312146319425,0.09940795932220514,0.6428022678397665,-0.026619397594914735
1652274610.8519914,1.9172836197243546,0.09932904088541522,0.6715974570290462,-0.025996261000515986,1.9172836197243546,0.09932904088541522,0.6715974570290462,-0.025996261000515986
1652274610.8549945,1.9193437799780302,0.0992518565461658,0.7004085085187826,-0.025406232425963907,1.9193437799780302,0.0992518565461658,0.7004085085187826,-0.025406232425963907
1652274610.8579946,1.9214882739399692,0.09917654109526443,0.7292236339548452,-0.02480299704472907,1.9214882739399692,0.09917654109526443,0.7292236339548452,-0.02480299704472907
1652274610.860992,1.9237170726275101,0.09910308289105993,0.758006443463347,-0.024214104112398067,1.9237170726275101,0.09910308289105993,0.758006443463347,-0.024214104112398067
1652274610.863992,1.926034379199373,0.09903131548468241,0.7868316478992795,-0.023629812802384843,1.926034379199373,0.09903131548468241,0.7868316478992795,-0.023629812802384843
1652274610.8669891,1.9284359000554108,0.09896135120804646,0.8156522680381925,-0.023055864616334815,1.9284359000554108,0.09896135120804646,0.8156522680381925,-0.023055864616334815
1652274610.8699892,1.9309262034951764,0.0988929797706484,0.8445146082455968,-0.022524121276012755,1.9309262034951764,0.0988929797706484,0.8445146082455968,-0.022524121276012755
1652274610.8729863,1.933500382860927,0.09882618383679855,0.8733273918334591,-0.02205119547481669,1.933500382860927,0.09882618383679855,0.8733273918334591,-0.02205119547481669
1652274610.8759863,1.9361636499915773,0.09876071132341584,0.9021461518313186,-0.021596215635546468,1.9361636499915773,0.09876071132341584,0.9021461518313186,-0.021596215635546468
